ID	Short_ID	Experiment	Species	Sex	Stage	Tissue	Mean_Coverage	Hybrid_Index	Chr18_Hybrid_Index	Capture_Year	Latitude	Longitude
D_Rb_Y15_BL_CHK_M	H_Rb_Y15	HZ	Hybrid	Male	Chick	Blood	27.64	0.4707096	0.4982274	2013	51.213	13.724
S_Up_H77_BL_CHK_M	S_Up_H77	HZ	C.cornix	Male	Chick	Blood	31.86	1	1	2014	59.858	17.643
S_Up_H80_BL_CHK_M	S_Up_H80	HZ	C.cornix	Male	Chick	Blood	38.41	1	1	2014	59.858	17.643
S_Up_H81_BL_CHK_M	S_Up_H81	HZ	C.cornix	Male	Chick	Blood	35.04	1	1	2014	59.858	17.643
D_Ko_C31_BL_ADL_M	D_Ko_C31_BL_ADL_M	WGBS	C.corone	Male	Mature	Blood	11.79	0	0	2014	47.676	9.198
D_Ko_C31_L_ADL_M	D_Ko_C31_L_ADL_M	WGBS	C.corone	Male	Mature	Liver	18.6	0	0	2014	47.676	9.198
D_Ko_C31_M_ADL_M	D_Ko_C31_M_ADL_M	WGBS	C.corone	Male	Mature	Spleen	17.67	0	0	2014	47.676	9.198
D_Ko_C45_BL_ADL_F	D_Ko_C45_BL_ADL_F	WGBS	C.corone	Female	Mature	Blood	9.27	0	0	2014	47.676	9.198
D_Ko_C45_L_ADL_F	D_Ko_C45_L_ADL_F	WGBS	C.corone	Female	Mature	Liver	17.69	0	0	2014	47.676	9.198
D_Ko_C45_M_ADL_F	D_Ko_C45_M_ADL_F	WGBS	C.corone	Female	Mature	Spleen	18.4	0	0	2014	47.676	9.198
S_Up_H59_BL_ADL_M	S_Up_H59_BL_ADL_M	WGBS	C.cornix	Male	Mature	Blood	9.26	1	1	2014	59.858	17.643
S_Up_H59_L_ADL_M	S_Up_H59_L_ADL_M	WGBS	C.cornix	Male	Mature	Liver	6.44	1	1	2014	59.858	17.643
S_Up_H59_M_ADL_M	S_Up_H59_M_ADL_M	WGBS	C.cornix	Male	Mature	Spleen	8.08	1	1	2014	59.858	17.643
S_Up_H60_BL_ADL_F	S_Up_H60_BL_ADL_F	WGBS	C.cornix	Female	Mature	Blood	9.03	1	1	2014	59.858	17.643
S_Up_H60_L_ADL_F	S_Up_H60_L_ADL_F	WGBS	C.cornix	Female	Mature	Liver	18.92	1	1	2014	59.858	17.643
S_Up_H60_M_ADL_F	S_Up_H60_M_ADL_F	WGBS	C.cornix	Female	Mature	Spleen	7.46	1	1	2014	59.858	17.643
D_Ko_C02	D_Ko_C02	WGS	C.corone	Male	Chick	Blood	13.45	0	0	2010	47.676	9.198
D_Ko_C04	D_Ko_C04	WGS	C.corone	Male	Chick	Blood	20.38	0	0	2010	47.676	9.198
D_Ko_C05	D_Ko_C05	WGS	C.corone	Male	Chick	Blood	10.8	0	0	2010	47.676	9.198
D_Ko_C08	D_Ko_C08	WGS	C.corone	Male	Chick	Blood	8.38	0	0	2010	47.676	9.198
D_Ko_C11	D_Ko_C11	WGS	C.corone	Male	Chick	Blood	10.2	0	0	2010	47.676	9.198
D_Ko_C13	D_Ko_C13	WGS	C.corone	Male	Chick	Blood	21.34	0	0	2010	47.676	9.198
D_Ko_C15	D_Ko_C15	WGS	C.corone	Male	Chick	Blood	26.88	0	0	2010	47.676	9.198
D_Ko_C19	D_Ko_C19	WGS	C.corone	Male	Chick	Blood	15.73	0	0	2010	47.676	9.198
D_Ra_C01	D_Ra_C01	WGS	C.corone	Male	Chick	Blood	11.78	0	0	2010	47.755	8.993
D_Ra_C05	D_Ra_C05	WGS	C.corone	Male	Chick	Blood	18.91	0	0	2010	47.755	8.993
D_Ra_C06	D_Ra_C06	WGS	C.corone	Male	Chick	Blood	8.03	0	0	2010	47.755	8.993
D_Ra_C11	D_Ra_C11	WGS	C.corone	Male	Chick	Blood	12.47	0	0	2010	47.755	8.993
D_Ra_C14	D_Ra_C14	WGS	C.corone	Male	Chick	Blood	8.04	0	0	2010	47.755	8.993
D_Ra_C16	D_Ra_C16	WGS	C.corone	Male	Chick	Blood	21.96	0	0	2010	47.755	8.993
S_Ri_H07	S_Ri_H07	WGS	C.cornix	Male	Chick	Blood	8.8	1	1	2010	59.75	18.366
S_Ri_H23	S_Ri_H23	WGS	C.cornix	Male	Chick	Blood	9.04	1	1	2010	59.75	18.366
S_Ri_H29	S_Ri_H29	WGS	C.cornix	Male	Chick	Blood	9.88	1	1	2010	59.75	18.366
S_Ri_H43	S_Ri_H43	WGS	C.cornix	Male	Chick	Blood	8.64	1	1	2010	59.75	18.366
S_Up_H03	S_Up_H03	WGS	C.cornix	Male	Chick	Blood	24.69	1	1	2010	59.858	17.643
S_Up_H09	S_Up_H09	WGS	C.cornix	Male	Chick	Blood	27.13	1	1	2010	59.858	17.643
S_Up_H16	S_Up_H16	WGS	C.cornix	Male	Chick	Blood	8.79	1	1	2010	59.858	17.643
S_Up_H24	S_Up_H24	WGS	C.cornix	Male	Chick	Blood	20.26	1	1	2010	59.858	17.643
S_Up_H29	S_Up_H29	WGS	C.cornix	Male	Chick	Blood	30.85	1	1	2010	59.858	17.643
S_Up_H37	S_Up_H37	WGS	C.cornix	Male	Chick	Blood	11.59	1	1	2010	59.858	17.643
S_Up_H43	S_Up_H43	WGS	C.cornix	Male	Chick	Blood	13.31	1	1	2010	59.858	17.643
S_Up_H47	S_Up_H47	WGS	C.cornix	Male	Chick	Blood	19.35	1	1	2010	59.858	17.643
S_Up_H51	S_Up_H51	WGS	C.cornix	Male	Chick	Blood	11.03	1	1	2010	59.858	17.643
S_Up_H52	S_Up_H52	WGS	C.cornix	Male	Chick	Blood	11.87	1	1	2010	59.858	17.643
