variable	Sample	Species	Tissue	Sex
D_Ko_C31_BL_ADL_M	C31	D	BL	M
D_Ko_C31_L_ADL_M	C31	D	L	M
D_Ko_C31_M_ADL_M	C31	D	M	M
D_Ko_C45_BL_ADL_F	C45	D	BL	F
D_Ko_C45_L_ADL_F	C45	D	L	F
D_Ko_C45_M_ADL_F	C45	D	M	F
S_Up_H59_BL_ADL_M	H59	S	BL	M
S_Up_H59_L_ADL_M	H59	S	L	M
S_Up_H59_M_ADL_M	H59	S	M	M
S_Up_H60_BL_ADL_F	H60	S	BL	F
S_Up_H60_L_ADL_F	H60	S	L	F
S_Up_H60_M_ADL_F	H60	S	M	F
