Sample	Positions	Cs	Ts	Methylated	Coverage	Read	Experiment
D_Ko_C45_L_ADL_F-NO	63	833675	565899	59.57	1399574	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	64	832348	565869	59.53	1398217	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	65	835362	565891	59.62	1401253	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	66	834626	565289	59.62	1399915	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	67	833202	562842	59.68	1396044	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	68	832373	563187	59.64	1395560	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	69	831156	566062	59.49	1397218	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	70	832296	563081	59.65	1395377	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	71	828940	562414	59.58	1391354	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	72	830792	566454	59.46	1397246	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	73	832452	564717	59.58	1397169	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	74	831589	565522	59.52	1397111	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	75	832237	565451	59.54	1397688	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	76	828947	561840	59.6	1390787	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	77	831966	560917	59.73	1392883	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	78	831942	563373	59.62	1395315	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	79	831243	560879	59.71	1392122	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	80	830005	559303	59.74	1389308	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	81	830762	563739	59.57	1394501	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	82	830411	562089	59.63	1392500	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	83	830070	565462	59.48	1395532	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	84	827228	563517	59.48	1390745	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	85	833794	563117	59.69	1396911	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	86	827948	562338	59.55	1390286	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	87	825167	561701	59.5	1386868	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	88	829116	558836	59.74	1387952	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	89	828375	558497	59.73	1386872	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	90	824091	562855	59.42	1386946	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	91	823898	560141	59.53	1384039	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	92	831447	559105	59.79	1390552	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	93	827956	563803	59.49	1391759	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	94	827221	559178	59.67	1386399	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	95	828537	559505	59.69	1388042	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	96	823056	560467	59.49	1383523	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	97	824525	559146	59.59	1383671	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	98	826910	559500	59.64	1386410	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	99	826453	559847	59.62	1386300	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	100	824717	558322	59.63	1383039	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	101	828868	562034	59.59	1390902	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	102	827417	560776	59.6	1388193	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	103	828017	559084	59.69	1387101	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	104	825110	558155	59.65	1383265	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	105	824400	559971	59.55	1384371	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	106	823067	559729	59.52	1382796	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	107	822895	556877	59.64	1379772	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	108	819795	558569	59.48	1378364	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	109	817986	557058	59.49	1375044	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	110	818403	558356	59.44	1376759	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	111	819224	558377	59.47	1377601	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	112	820506	558079	59.52	1378585	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	113	824334	558312	59.62	1382646	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	114	817682	560337	59.34	1378019	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	115	810763	559051	59.19	1369814	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	116	820122	559424	59.45	1379546	R1	Co.Gar.WGBS
D_Ko_C45_L_ADL_F-NO	117	816574	558438	59.39	1375012	R1	Co.Gar.WGBS
