Class	ComGar.WGBS	ComGar.RRBS	HybZon.RRBS	Count	All CpGs	Sequenced In At Least 2 Experiments	Passes Necessary Condition	No Conflicted DMP	Passes Sufficient Condition
Unclassified	Tissue	Unknown	Unknown	11432	1	1	1	1	0
Unclassified	Unknown	Age	Conserved	2	1	1	1	1	0
Unclassified	Unknown	Age	MISSING	261	1	1	1	1	0
Unclassified	Unknown	Age	Unknown	229	1	1	1	1	0
Unclassified	Unknown	Conserved	Distance	1	1	1	1	1	0
Unclassified	Unknown	MISSING	Distance	4	1	1	1	1	0
Unclassified	Unknown	MISSING	Taxon	9	1	1	1	1	0
Unclassified	Unknown	MISSING	Temperature	12	1	1	1	1	0
Unclassified	Unknown	Unknown	Distance	4	1	1	1	1	0
Unclassified	Unknown	Unknown	Taxon	6	1	1	1	1	0
Unclassified	Unknown	Unknown	Temperature	4	1	1	1	1	0
Temperature	Conserved	MISSING	Temperature	1	1	1	1	1	1
Age	MISSING	Age	Conserved	4	1	1	1	1	1
Distance	MISSING	Conserved	Distance	1	1	1	1	1	1
Temperature	MISSING	Conserved	Temperature	2	1	1	1	1	1
Sex	Sex	MISSING	Conserved	6	1	1	1	1	1
Taxon	Taxon	MISSING	Taxon	3	1	1	1	1	1
Taxon	Taxon	Taxon	Taxon	1	1	1	1	1	1
Tissue	Tissue	Conserved	Conserved	793	1	1	1	1	1
Tissue	Tissue	Conserved	MISSING	835	1	1	1	1	1
Tissue	Tissue	MISSING	Conserved	2235	1	1	1	1	1
