Focal_Region	Boots	Experiment	Variable
Undiverged	0.0298095709682015	CG	HapD
Focal	0.37271101425162	CG	HapD
Undiverged	-0.0124547278036909	CG	HapD
Focal	0.189122968013802	CG	HapD
Undiverged	0.0346158536617518	CG	HapD
Focal	0.190199065367958	CG	HapD
Undiverged	0.209542129408357	CG	HapD
Focal	0.154322929929332	CG	HapD
Undiverged	0.0145119523967378	CG	HapD
Focal	0.359907485359409	CG	HapD
Undiverged	0.015808863215262	CG	HapD
Focal	0.139050662214821	CG	HapD
Undiverged	0.0698320231974522	CG	HapD
Focal	0.223014554645331	CG	HapD
Undiverged	0.106262086960769	CG	HapD
Focal	0.0235390546945861	CG	HapD
Undiverged	0.231712511841721	CG	HapD
Focal	0.397070238962438	CG	HapD
Undiverged	0.038171223920318	CG	HapD
Focal	0.332502757173549	CG	HapD
Undiverged	0.0551129483036765	CG	HapD
Focal	0.288800037420665	CG	HapD
Undiverged	0.0209164027116683	CG	HapD
Focal	0.203081775938656	CG	HapD
Undiverged	0.121666954568318	CG	HapD
Focal	0.0819504229195423	CG	HapD
Undiverged	-0.0720525499561758	CG	HapD
Focal	0.33801875289518	CG	HapD
Undiverged	-0.0355413388790615	CG	HapD
Focal	0.327259061693472	CG	HapD
Undiverged	0.0529636869323795	CG	HapD
Focal	0.109323343267813	CG	HapD
Undiverged	0.0880333279151082	CG	HapD
Focal	0.17166489722193	CG	HapD
Undiverged	-0.0999188657094892	CG	HapD
Focal	0.318640307379046	CG	HapD
Undiverged	0.0552777262236786	CG	HapD
Focal	0.239374907460211	CG	HapD
Undiverged	0.294947593252097	CG	HapD
Focal	0.230156961449268	CG	HapD
Undiverged	0.0800298653343755	CG	HapD
Focal	0.334580714542202	CG	HapD
Undiverged	0.0765181152983545	CG	HapD
Focal	0.23024825107008	CG	HapD
Undiverged	0.0532543171605805	CG	HapD
Focal	0.230705210973368	CG	HapD
Undiverged	-0.0127948241559991	CG	HapD
Focal	-0.0596190514698501	CG	HapD
Undiverged	-0.00122349844315159	CG	HapD
Focal	0.102570886950448	CG	HapD
Undiverged	0.0105625867305424	CG	HapD
Focal	0.351642095906449	CG	HapD
Undiverged	0.139835165186433	CG	HapD
Focal	0.127667850465121	CG	HapD
Undiverged	-0.0665873375793015	CG	HapD
Focal	0.194275256119239	CG	HapD
Undiverged	-0.0440823073322916	CG	HapD
Focal	0.120367010978866	CG	HapD
Undiverged	0.209220101006708	CG	HapD
Focal	0.316528972818463	CG	HapD
Undiverged	0.00582204661235557	CG	HapD
Focal	0.290593152321915	CG	HapD
Undiverged	0.14004272241595	CG	HapD
Focal	0.197133356528301	CG	HapD
Undiverged	0.103227045674738	CG	HapD
Focal	0.271717573542611	CG	HapD
Undiverged	-0.173129069231922	CG	HapD
Focal	0.278648950001633	CG	HapD
Undiverged	0.129465224259325	CG	HapD
Focal	0.122848011437573	CG	HapD
Undiverged	-0.0299873244205528	CG	HapD
Focal	0.168369359087	CG	HapD
Undiverged	-0.0661307847677119	CG	HapD
Focal	0.161946157042258	CG	HapD
Undiverged	0.169998446765491	CG	HapD
Focal	0.0704032882949683	CG	HapD
Undiverged	-0.0360504210890555	CG	HapD
Focal	0.212696001546242	CG	HapD
Undiverged	0.00374354163303675	CG	HapD
Focal	0.294778059482174	CG	HapD
Undiverged	0.025823008244302	CG	HapD
Focal	0.124918968237158	CG	HapD
Undiverged	0.0717881735328026	CG	HapD
Focal	0.1879947427296	CG	HapD
Undiverged	-0.0498015670107745	CG	HapD
Focal	0.274622285954816	CG	HapD
Undiverged	0.32112444587495	CG	HapD
Focal	0.22102422122922	CG	HapD
Undiverged	0.215077851592112	CG	HapD
Focal	0.174094357960732	CG	HapD
Undiverged	0.141696035556451	CG	HapD
Focal	0.162136515552862	CG	HapD
Undiverged	-0.0450832745690508	CG	HapD
Focal	0.227677566536562	CG	HapD
Undiverged	-0.0279489343608271	CG	HapD
Focal	0.267743004343928	CG	HapD
Undiverged	0.0245122059692931	CG	HapD
Focal	0.354769866109013	CG	HapD
Undiverged	0.164702712442806	CG	HapD
Focal	0.223122993549654	CG	HapD
Undiverged	0.0358386343064195	CG	HapD
Focal	0.245037057157574	CG	HapD
Undiverged	-0.010100172505558	CG	HapD
Focal	0.192466667690116	CG	HapD
Undiverged	-0.0461836427048866	CG	HapD
Focal	0.271466494793318	CG	HapD
Undiverged	0.127776944849742	CG	HapD
Focal	0.340987947735635	CG	HapD
Undiverged	0.101195864477178	CG	HapD
Focal	0.239749844748545	CG	HapD
Undiverged	-0.00695754972985621	CG	HapD
Focal	0.252318933979703	CG	HapD
Undiverged	0.10532373702996	CG	HapD
Focal	0.286049200147985	CG	HapD
Undiverged	0.19226641935899	CG	HapD
Focal	0.206569271368525	CG	HapD
Undiverged	0.0393417299618499	CG	HapD
Focal	0.165937103187888	CG	HapD
Undiverged	0.125188594804229	CG	HapD
Focal	0.151983427492102	CG	HapD
Undiverged	0.0728832917113093	CG	HapD
Focal	0.254850563886558	CG	HapD
Undiverged	-0.182155142192216	CG	HapD
Focal	0.350805674286683	CG	HapD
Undiverged	0.0151612182855157	CG	HapD
Focal	0.167611594135742	CG	HapD
Undiverged	-0.0553107444186586	CG	HapD
Focal	0.365692626510512	CG	HapD
Undiverged	0.128635902630787	CG	HapD
Focal	0.231029790234613	CG	HapD
Undiverged	0.164600308186515	CG	HapD
Focal	0.26854710219624	CG	HapD
Undiverged	0.269297765336329	CG	HapD
Focal	0.146328816121658	CG	HapD
Undiverged	0.154884379578794	CG	HapD
