Group	Mean	Count
HZ_Intron_Focal	0.730859443303046	751
HZ_Intron_Undiverged	0.754661539950737	751
HZ_Promoter_Focal	0.517050537101766	1214
HZ_Promoter_Undiverged	0.602467291375554	1214
WGBS_CDS_Focal	0.873538510030907	963
WGBS_CDS_Undiverged	0.838764053347044	963
WGBS_Intergenic_Focal	0.985746951197485	2619
WGBS_Intergenic_Undiverged	0.940142265180922	2619
WGBS_Intron_Focal	0.924426379996104	3625
WGBS_Intron_Undiverged	0.901276847115463	3625
WGBS_Promoter_Focal	0.454793306175938	1185
WGBS_Promoter_Undiverged	0.555743120875118	1185
CG_CDS_Focal	0.829764102185089	87
CG_CDS_Undiverged	0.829857655014851	87
CG_Intergenic_Focal	1.17837390348519	344
CG_Intergenic_Undiverged	0.918540638813188	344
CG_Intron_Focal	0.708072048385144	453
CG_Intron_Undiverged	0.886314544993846	453
CG_Promoter_Focal	0.422741137215349	1298
CG_Promoter_Undiverged	0.494814787458601	1298
HZ_CDS_Focal	0.942607548479527	131
HZ_CDS_Undiverged	0.721962998686127	131
HZ_Intergenic_Focal	1.10537083252102	559
HZ_Intergenic_Undiverged	0.755133361755353	559
HZ_Intron_Focal	0.739875102906615	751
HZ_Intron_Undiverged	0.743895670965174	751
HZ_Promoter_Focal	0.551724632266197	1214
HZ_Promoter_Undiverged	0.594228453405434	1214
WGBS_CDS_Focal	0.962522657469769	963
WGBS_CDS_Undiverged	0.821041806251961	963
WGBS_Intergenic_Focal	0.925560491690857	2619
WGBS_Intergenic_Undiverged	0.907773929362759	2619
WGBS_Intron_Focal	0.964945451295586	3625
WGBS_Intron_Undiverged	0.913010110255185	3625
WGBS_Promoter_Focal	0.462782884882941	1185
WGBS_Promoter_Undiverged	0.549167274300549	1185
CG_CDS_Focal	0.772803112345946	87
CG_CDS_Undiverged	0.939152459598605	87
CG_Intergenic_Focal	1.03357212729512	344
CG_Intergenic_Undiverged	0.820515911210216	344
CG_Intron_Focal	0.743913058441117	453
CG_Intron_Undiverged	0.829907031965476	453
CG_Promoter_Focal	0.421968460741188	1298
CG_Promoter_Undiverged	0.507241845616565	1298
HZ_CDS_Focal	0.960411990525557	131
HZ_CDS_Undiverged	0.813135421853162	131
HZ_Intergenic_Focal	1.07473809084474	559
HZ_Intergenic_Undiverged	0.775432830672828	559
HZ_Intron_Focal	0.750280106259582	751
HZ_Intron_Undiverged	0.755539839526728	751
HZ_Promoter_Focal	0.529712963290118	1214
HZ_Promoter_Undiverged	0.594998745097627	1214
WGBS_CDS_Focal	0.92202283353473	963
WGBS_CDS_Undiverged	0.860852603887704	963
WGBS_Intergenic_Focal	0.950283017161249	2619
WGBS_Intergenic_Undiverged	0.931512399918453	2619
WGBS_Intron_Focal	0.969032579564114	3625
WGBS_Intron_Undiverged	0.880553487279484	3625
WGBS_Promoter_Focal	0.447834654044143	1185
WGBS_Promoter_Undiverged	0.557141738066047	1185
CG_CDS_Focal	0.729343588380503	87
CG_CDS_Undiverged	0.929205562203303	87
CG_Intergenic_Focal	1.06718453027529	344
CG_Intergenic_Undiverged	0.854804753081095	344
CG_Intron_Focal	0.786236193217925	453
CG_Intron_Undiverged	0.800524490938115	453
CG_Promoter_Focal	0.407086039094247	1298
CG_Promoter_Undiverged	0.481828048677941	1298
HZ_CDS_Focal	0.799305420068938	131
HZ_CDS_Undiverged	0.830208404219797	131
HZ_Intergenic_Focal	1.06895819842758	559
HZ_Intergenic_Undiverged	0.778349695330537	559
HZ_Intron_Focal	0.747342273770572	751
HZ_Intron_Undiverged	0.792090264864239	751
HZ_Promoter_Focal	0.518292316866006	1214
HZ_Promoter_Undiverged	0.592146303368359	1214
WGBS_CDS_Focal	0.947918526794394	963
WGBS_CDS_Undiverged	0.833206621885697	963
WGBS_Intergenic_Focal	0.961344280648065	2619
WGBS_Intergenic_Undiverged	0.923933128758509	2619
WGBS_Intron_Focal	0.93388106865951	3625
WGBS_Intron_Undiverged	0.899294302278417	3625
WGBS_Promoter_Focal	0.465083903474657	1185
WGBS_Promoter_Undiverged	0.548492889013288	1185
CG_CDS_Focal	0.731481393750865	87
CG_CDS_Undiverged	0.929686707106947	87
CG_Intergenic_Focal	1.29608116142352	344
CG_Intergenic_Undiverged	0.859781534000803	344
CG_Intron_Focal	0.801238563652527	453
CG_Intron_Undiverged	0.774961837518377	453
CG_Promoter_Focal	0.401130742888621	1298
CG_Promoter_Undiverged	0.481206925731286	1298
HZ_CDS_Focal	0.902228458275836	131
HZ_CDS_Undiverged	0.768422376842769	131
HZ_Intergenic_Focal	1.12057054591941	559
HZ_Intergenic_Undiverged	0.779714382885951	559
HZ_Intron_Focal	0.723727320415437	751
HZ_Intron_Undiverged	0.785172564877507	751
HZ_Promoter_Focal	0.529101494396263	1214
HZ_Promoter_Undiverged	0.597034753980753	1214
WGBS_CDS_Focal	0.864218656521433	963
WGBS_CDS_Undiverged	0.857883058979873	963
WGBS_Intergenic_Focal	0.92459518740229	2619
WGBS_Intergenic_Undiverged	0.927084002608878	2619
WGBS_Intron_Focal	0.921687275096512	3625
WGBS_Intron_Undiverged	0.892856261966791	3625
WGBS_Promoter_Focal	0.4846156235283	1185
WGBS_Promoter_Undiverged	0.515519920957687	1185
CG_CDS_Focal	0.727935301857683	87
CG_CDS_Undiverged	0.853386363260583	87
CG_Intergenic_Focal	1.14561965828649	344
CG_Intergenic_Undiverged	0.86099849696468	344
CG_Intron_Focal	0.688083221627759	453
CG_Intron_Undiverged	0.873441235805061	453
CG_Promoter_Focal	0.411419105410056	1298
CG_Promoter_Undiverged	0.489247454982136	1298
HZ_CDS_Focal	1.0493442175499	131
HZ_CDS_Undiverged	0.842346697303786	131
HZ_Intergenic_Focal	1.10602254567064	559
HZ_Intergenic_Undiverged	0.757175625891347	559
HZ_Intron_Focal	0.760520682528384	751
HZ_Intron_Undiverged	0.763572113309826	751
HZ_Promoter_Focal	0.514059287808243	1214
HZ_Promoter_Undiverged	0.583983578462823	1214
WGBS_CDS_Focal	1.0112587073526	963
WGBS_CDS_Undiverged	0.883612227887984	963
WGBS_Intergenic_Focal	0.961238243690186	2619
WGBS_Intergenic_Undiverged	0.945578183535938	2619
WGBS_Intron_Focal	0.935582219420026	3625
WGBS_Intron_Undiverged	0.882625410481918	3625
WGBS_Promoter_Focal	0.453690728628019	1185
WGBS_Promoter_Undiverged	0.553405969846836	1185
CG_CDS_Focal	0.827685277147684	87
CG_CDS_Undiverged	0.851316482136328	87
CG_Intergenic_Focal	0.983196831388653	344
CG_Intergenic_Undiverged	0.864129022201916	344
CG_Intron_Focal	0.667412770719415	453
CG_Intron_Undiverged	0.792843134487139	453
CG_Promoter_Focal	0.4148968845498	1298
CG_Promoter_Undiverged	0.516326273165026	1298
HZ_CDS_Focal	0.874180525260341	131
HZ_CDS_Undiverged	0.788285467339955	131
HZ_Intergenic_Focal	1.0053474452242	559
HZ_Intergenic_Undiverged	0.844052085680178	559
HZ_Intron_Focal	0.748538931703133	751
HZ_Intron_Undiverged	0.766142210251404	751
HZ_Promoter_Focal	0.54319942279595	1214
HZ_Promoter_Undiverged	0.60626737414607	1214
WGBS_CDS_Focal	0.949456115902026	963
WGBS_CDS_Undiverged	0.85324886637386	963
WGBS_Intergenic_Focal	0.926439909102466	2619
WGBS_Intergenic_Undiverged	0.92079219068235	2619
WGBS_Intron_Focal	0.962868787398733	3625
WGBS_Intron_Undiverged	0.922067227300619	3625
WGBS_Promoter_Focal	0.456051323147852	1185
WGBS_Promoter_Undiverged	0.561971325681695	1185
CG_CDS_Focal	0.835870096583539	87
CG_CDS_Undiverged	0.860383760145068	87
CG_Intergenic_Focal	1.14803995970252	344
CG_Intergenic_Undiverged	0.870682583444422	344
CG_Intron_Focal	0.7379353090915	453
CG_Intron_Undiverged	0.806175047841999	453
CG_Promoter_Focal	0.411671172727457	1298
CG_Promoter_Undiverged	0.496949893966546	1298
HZ_CDS_Focal	0.860459664007701	131
HZ_CDS_Undiverged	0.754468731803336	131
HZ_Intergenic_Focal	1.20210763431106	559
HZ_Intergenic_Undiverged	0.825890747078607	559
HZ_Intron_Focal	0.761829888064173	751
HZ_Intron_Undiverged	0.763963668112146	751
HZ_Promoter_Focal	0.541999493223224	1214
HZ_Promoter_Undiverged	0.593160828390622	1214
WGBS_CDS_Focal	0.933886011420493	963
WGBS_CDS_Undiverged	0.896839874088883	963
WGBS_Intergenic_Focal	0.999357644114709	2619
WGBS_Intergenic_Undiverged	0.916604763993419	2619
WGBS_Intron_Focal	0.962133975044231	3625
WGBS_Intron_Undiverged	0.91606945166703	3625
WGBS_Promoter_Focal	0.458243365066565	1185
WGBS_Promoter_Undiverged	0.553338593333583	1185
CG_CDS_Focal	0.764033117881576	87
CG_CDS_Undiverged	0.82204610033506	87
CG_Intergenic_Focal	1.04068471897136	344
CG_Intergenic_Undiverged	0.871271830476598	344
CG_Intron_Focal	0.725593954343858	453
CG_Intron_Undiverged	0.75946381243534	453
CG_Promoter_Focal	0.413992856568968	1298
CG_Promoter_Undiverged	0.496994633834818	1298
HZ_CDS_Focal	1.0266124399254	131
HZ_CDS_Undiverged	0.829878519518401	131
HZ_Intergenic_Focal	1.10282872510867	559
HZ_Intergenic_Undiverged	0.764051379526356	559
HZ_Intron_Focal	0.772019173980677	751
HZ_Intron_Undiverged	0.727085960679781	751
HZ_Promoter_Focal	0.525271104410219	1214
HZ_Promoter_Undiverged	0.57638894843857	1214
WGBS_CDS_Focal	0.931593342619505	963
WGBS_CDS_Undiverged	0.822926917318862	963
WGBS_Intergenic_Focal	0.958193719325294	2619
WGBS_Intergenic_Undiverged	0.896976073227695	2619
WGBS_Intron_Focal	0.95337311209989	3625
WGBS_Intron_Undiverged	0.910508660947515	3625
WGBS_Promoter_Focal	0.448995540088783	1185
WGBS_Promoter_Undiverged	0.555106425954705	1185
CG_CDS_Focal	0.854271458776193	87
CG_CDS_Undiverged	0.924743886290171	87
CG_Intergenic_Focal	1.10389840528429	344
CG_Intergenic_Undiverged	0.81979042620591	344
CG_Intron_Focal	0.81072722137682	453
CG_Intron_Undiverged	0.739598883994727	453
CG_Promoter_Focal	0.422941774770704	1298
CG_Promoter_Undiverged	0.494856098277787	1298
HZ_CDS_Focal	0.950040679714701	131
HZ_CDS_Undiverged	0.681539771768274	131
HZ_Intergenic_Focal	1.02961150457369	559
HZ_Intergenic_Undiverged	0.766314574685123	559
HZ_Intron_Focal	0.762039498915766	751
HZ_Intron_Undiverged	0.764656322464145	751
HZ_Promoter_Focal	0.518392991892586	1214
HZ_Promoter_Undiverged	0.577310185747747	1214
WGBS_CDS_Focal	0.870447742142285	963
WGBS_CDS_Undiverged	0.883311548948862	963
WGBS_Intergenic_Focal	0.976888268586994	2619
WGBS_Intergenic_Undiverged	0.921431019273165	2619
WGBS_Intron_Focal	0.937084548456798	3625
WGBS_Intron_Undiverged	0.891511373076276	3625
WGBS_Promoter_Focal	0.450008219991915	1185
WGBS_Promoter_Undiverged	0.528308912770367	1185
CG_CDS_Focal	0.744014629477767	87
CG_CDS_Undiverged	0.750451168881929	87
CG_Intergenic_Focal	1.06717681646198	344
CG_Intergenic_Undiverged	0.919015753236869	344
CG_Intron_Focal	0.742179190974322	453
CG_Intron_Undiverged	0.802714524557691	453
CG_Promoter_Focal	0.412197118505037	1298
CG_Promoter_Undiverged	0.474948942170654	1298
HZ_CDS_Focal	0.970239761697303	131
HZ_CDS_Undiverged	0.808068004362784	131
