ID	PC1	PC2
D_Ko_C02	-0.178242425746814	0.0199188628804999
D_Ko_C04	-0.19169527592641	0.0236761414415492
D_Ko_C05	-0.195180466574501	-0.00672068286622808
D_Ko_C08	-0.186171849697845	-0.0075756260091332
D_Ko_C11	-0.178914487799828	-0.00122480550250567
D_Ko_C13	-0.18111020058184	0.00195105922757022
D_Ko_C15	-0.20116103387566	-0.00101289171051184
D_Ko_C19	-0.200445852557292	-0.00227637044631212
D_Ra_C01	-0.177971334183808	-0.001360393299946
D_Ra_C05	-0.198124021350384	0.00717403485046791
D_Ra_C06	-0.18620679236184	-0.0099079450934024
D_Ra_C11	-0.186503452738926	-0.000663961843302112
D_Ra_C14	-0.185271711214401	-0.00661008422988078
D_Ra_C16	-0.19702108123934	-0.0120367063498606
S_Ri_H07	0.183507509800749	-0.337870263484363
S_Ri_H23	0.194224380025974	-0.101207953885448
S_Ri_H29	0.182264136027297	0.0548282574233185
S_Ri_H43	0.194108887018726	-0.310335433569978
S_Up_H03	0.18690753069314	0.329473175643445
S_Up_H09	0.191840529408244	0.300816148974362
S_Up_H16	0.192608617867805	0.0218878083709869
S_Up_H24	0.191685304918125	-0.429661663682163
S_Up_H29	0.196534157433272	0.21992837358664
S_Up_H37	0.191727851512043	-0.167314507635915
S_Up_H43	0.191521359628487	0.199208452644832
S_Up_H47	0.18651926037564	0.214843217128736
S_Up_H51	0.178110042503003	-0.336999340970805
S_Up_H52	0.182460418636382	0.339073098407343
