ID	PC1	PC2
D_Ko_C02	-0.151313978783196	0.180983290819452
D_Ko_C04	-0.219259016255236	0.271175867695566
D_Ko_C05	-0.126424015586436	0.0865293563264253
D_Ko_C08	-0.132907092713097	0.110345963355552
D_Ko_C11	-0.130510043770118	0.056184713775487
D_Ko_C13	-0.200570977504546	0.271242102795209
D_Ko_C15	-0.181159396392606	0.216805491406216
D_Ko_C19	-0.19561082148413	0.206420921285282
D_Ra_C01	-0.149708467127596	0.122666849136593
D_Ra_C05	-0.306760881929968	-0.616186787342869
D_Ra_C06	-0.25693057831567	-0.497018940148975
D_Ra_C11	-0.174594243065582	0.128376777107687
D_Ra_C14	-0.108772571705768	0.000774229476161785
D_Ra_C16	-0.231485801342381	-0.197689412580779
S_Ri_H07	0.133002671507681	-0.0116877712079989
S_Ri_H23	0.142850748717208	-0.00681723623106663
S_Ri_H29	0.15201166407204	-0.0161427062926635
S_Ri_H43	0.143970018706205	-0.0174643793792888
S_Up_H03	0.21038569973297	-0.030701675268635
S_Up_H09	0.25389291316994	-0.053358107196028
S_Up_H16	0.154028916860689	-0.0186108210094954
S_Up_H24	0.195646418224761	-0.0136368125098725
S_Up_H29	0.219126040451109	-0.038497925018748
S_Up_H37	0.209558136092401	-0.0241890025795356
S_Up_H43	0.175477498006644	-0.0214631184580579
S_Up_H47	0.226492541213123	-0.0329080368074267
S_Up_H51	0.154374799728481	-0.0181540546030774
S_Up_H52	0.195189819493092	-0.0369787765450819
